idstd,id,a4a,a6a,a2,a1c,a0,a3a,a6c,a7,panel,a1a,a14d,a14m,a14y,a14h,a14min,a20y,a20m,a20d,a1,a12,a7a,a7b,a11,a7c,a9,b1,b1x,b3a,b2a,b2b,b2c,b2d,b4,b4a,b5,b6,b6b,b7,b7a,b8,b8x,c3,c4,c5,c31,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c43,c44,c12,c13,c14,c33,c45,c152,c162,c172,c22b,c36,c37,c39,c42,d1a1a,d1a3,d2,d2x,n3,n3x,f1,d3a,d3b,d3c,d31x,d42,d43a,d43b,d4a,d4b,d342,d352,d8,d12a,d12b,d13,d38x,d44,d45a,d45b,d14a,d14b,d412,o1,o2,o3a2,o3b2,j31,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e312,e32,e33,e6,e11,h1,h2,h32x,h5,h62x,h8,h9,d1a6a,d1a6b,d1a6c,d1a6cx,g5a,g5b,g5bx,g2,g3,g4,g34,ge3,ge3a,ge7,ge8d,k3a,k3i,k3j,k3bc,k3e,k3f,k3dgh,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5j,k5j1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5dgh,k5dgh1,k6,k82b,k82a,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15d,k162a,k162b,k17,k20a1,k32,k21,k33,k342,k342x,k35,k36,k38,k392,k392x,k40,j2,j3,j4,j5,j32,j33,j35,j36,j37,j38,j39,j40,j6a,j41,j42,j43,j7a,j7b,j10,j11,j12,j13,j14,j15,k30,g30a,j30c,j30f,h30,i30,d30b,c30a,l30b,l30a,j30e,e30,j30b,j30a,d30a,k30_finance_pos,g30_land_pos,j30_permit_pos,j30_corruption_pos,j30_courts_pos,j30_crime_pos,d30_trade_pos,c30_electricity_pos,l30_workforce_pos,l30_labor_pos,j30_instability_pos,e30_informal_pos,j30_taxadmin_pos,j30_taxrate_pos,d30_transport_pos,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,l1,l2,l9b,l9b1,l3a,l3b,l5a,l5b,l5,l4a1,l4a2,l4b,l10,l11a1,l11a,l11b1,l11b,l12a1,l12a,l34,l35,l36,l1a,l6,l6a,l8,l37,l38a,l38b,l40,l41,l30d,l30c,c32,c32b,c34,c34b,c34bx,c34c,n2a,n2a2,n2e,n2i,n7a,n11,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a1d,a3b,a3c,a3,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata,d3c_raw,exporter
1598275,1880,Construction,Small,Central,Firm,Other services,Nairobi,38,No,Fresh,English,14,6,2025,13,37,2024,12,31,94,Interviewer36,,,,,,Limited partnership,,1,Fully domestically owned (private),0,0,0,No,,2012,1,2010,12.0,No,No,,No,,,,No,,,,,,No,,No,,No,,,,It is suitable for all operational needs,No,,,1,0,,0,With no difficulty at all,Construction of,100,5000000.0,five million,8000000.0,eight million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Strongly disagree,Tend to disagree,Strongly disagree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",No,,Yes,Combination of short term and long term production targets,Targets were not achieved,All managers and most production workers,No,,Promotions were based solely on performance and ability,Rarely or never,Local or in some parts of the country,Too many to count,There is competition among many firms,Stayed the same,No,0.0,Yes,0.0,,,Yes,internal process in the way pay our suppliers we used to use the  normal mobile money services by paying impartially  still through M-pesa but we play in bulk,No,,,,,,,,,Yes,30.0,Yes,Tend to agree,No,,No,Yes,20,20,0,30,0,30,0,No,,,,,,,,,,,,,,,,,Yes,No,Yes,State-owned banks or government agency,2022.0,2500000.0,No,,,,,,,Yes,No,No,Interest rates were not favorable,,,Yes,10,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,90," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,20,Yes,1.0,No,No,,12,"Yes, fully","Yes, fully",No,,Refunds take too long to receive,No,,No,,2.0,,No,,,Yes,7.0,Yes,3,No obstacle,Minor obstacle,Major obstacle,Major obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,No obstacle,Minor obstacle,Very severe obstacle,Minor obstacle,Moderate obstacle,Major obstacle,No obstacle,3,14,9,4,1,11,10,12,5,13,7,6,15,2,8,Political instability,3,14,9,4,1,11,10,12,5,13,7,6,15,2,8,8,3,100.0,,,,,,2.0,5,3,0,1,,,,,2.0,,Yes,Dismissals were immediate,No severance was paid,10,20,3.0,One month or less,No,,,Yes,No,Moderate obstacle,Major obstacle,100,3000.0,120,Liters,,1200,1900000.0,200000.0,,,,10,15,6,2025,14,13,Somewhat truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,7,Face to face only,Yes,Yes,City with population over 1 million,4330,Central,Small (5-19),Construction,Fresh,6.6830487,6.8863378,8.650241,6,0,0.0
1598276,1885,Food,Small,Central,Firm,Retail services,Central,7,Yes,Fresh,English,26,6,2025,14,22,2024,12,31,94,Interviewer38,6.0,No,,,Yes,Limited partnership,,0,Fully domestically owned (private),0,0,0,Yes,30.0,2023,4,2023,22.0,No,No,,No,,,,Yes,2.0,0.0,25.0,No Losses,,No,,Yes,30.0,No,,,,It is suitable for all operational needs,Yes,1.0,One hour or less,1,0,,0,With no difficulty at all,Retail trade of ,100,15000000.0,Fifteen million,Establishment was not in business in Fiscal Year,,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to disagree,Tend to agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,No,1.0,Yes,1.0,Yes,We have  introduced  transport services which we did not have before  thus making our customers trust us more Before  customers used used to get their own transport which used to cost them more  but now we offer them transport at a small fee,No,,No,,,,,,400.0,Square Meters,,No,,,Strongly agree,No,,No,No,60,0,0,30,0,10,0,Yes,3000000.0,0.0,60.0,,0.0,,0.0,,30.0,,0.0,,10.0,,0.0,,Yes,Yes,Yes,Private commercial banks,2024.0,5000000.0,Yes,Yes,Yes,Yes,No,No,10000000.0,Yes,Yes,No,,Application was approved in full,14.0,Yes,70,"Other (including e-money, e-wallet, and mobile money",paybill,Payment received in less than a day,Above 0 but below 0.5%,98," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,2,Yes,2.0,Yes,No,,48,"Yes, fully","Yes, fully",No,,The application for a refund is too complicated,No,,No,,5.0,,No,,,Yes,One day or less,No,2,Moderate obstacle,Minor obstacle,Major obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,No obstacle,No obstacle,No obstacle,Moderate obstacle,Very severe obstacle,Minor obstacle,Major obstacle,No obstacle,12,10,4,13,9,8,1,14,2,11,6,7,15,3,5,Tax rates,12,10,4,13,9,8,1,14,2,11,6,7,15,3,5,7,Establishment was not in business,7.0,,,,,,2.0,2,3,2,1,,,,,2.0,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,Yes,No,No obstacle,Minor obstacle,120,3000.0,30,Cubic meters,,2600,480000.0,84000.0,,1000000.0,,10,26,6,2025,15,20,Truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,2,Face to face only,No,No,Over 250.000 to 1 million,4773,Central,Small (5-19),Food,Fresh,6.3913064,6.4977994,7.381146,1,0,0.0
1598277,1896,Chemicals and Chemical Products,Medium,Rift Valley,Firm,Manufacturing,Central,70,No,Fresh,English,20,8,2025,14,36,2024,12,31,94,Interviewer4,,,,,,Limited partnership,,0,Fully domestically owned (private),0,0,0,Yes,30.0,2010,6,2008,15.0,No,No,,No,,,,Yes,2.0,4.0,0.0,No Losses,,No,,Yes,50.0,No,,,,It is suitable for only some operational needs,Yes,1.0,8.0,1,0,,0,There is only one available internet provider,Manufacturing of ,100,300000000.0,Three hundred million,303000000.0,Three hundred and three million,35.0,90,0,10,United Kingdom,Yes,3.0,0.0,3.0,0.0,35.0,No,2021.0,70,30,Yes,China,Yes,2.0,0.0,2.0,0.0,40.0,No,,Tend to agree,Strongly agree,Tend to agree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",No,,Yes,Main focus was on short-term (less than one year) production targets,Possible to achieve with more than normal effort,All managers and most production workers,Yes,Their team's or shift performance,Non-managers are normally not promoted,Rarely or never,National ,Too many to count,There is competition among many firms,Increased,Yes,0.0,Yes,0.0,,,No,,No,,,,,,,,,No,,,Tend to agree,No,,No,No,100,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,Yes,60,"Other (including e-money, e-wallet, and mobile money",mpesa,Payment received in less than a day,Above 0 but below 0.5%,80,"Other (including e-money, e-wallet, and mobile money",mpesa,Above 0 but below 0.5%,No time spent,Yes,4.0,Yes,No,,84,"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,Don't know (spontaneous),,Yes,30.0,Yes,Yes,2.0,Yes,0,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,Moderate obstacle,No obstacle,No obstacle,2,14,13,15,7,6,4,12,5,11,10,9,1,8,3,Practices of competitors in the informal sector,2,14,13,15,7,6,4,12,5,11,10,9,1,8,3,70,70,100.0,,40.0,30.0,15.0,5.0,,5,25,10,0,,,,,,,Yes,Dismissals were immediate,21.0,No part-time workers,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,Minor obstacle,Minor obstacle,165,5000.0,25,Cubic meters,,4000,12000000.0,750000.0,150000000.0,,20000000.0,20,20,8,2025,15,36,Somewhat truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,1,Face to face only,No,No,City with population over 1 million,2023,Rift Valley,Medium (20-99),Chemicals and Chemical Products,Fresh,1.0,1.0,1.0,199,10,1.0
1598278,1901,Construction,Small,Nairobi,Firm,Other services,Rift Valley,10,No,Fresh,English,11,8,2025,11,51,2024,12,31,94,Interviewer20,,,,,,Limited partnership,,1,Fully domestically owned (private),0,0,0,No,,2015,4,2015,15.0,No,No,,No,,,,Yes,2.0,0.0,45.0,No Losses,,No,,No,,No,,,,It is suitable for all operational needs,Yes,2.0,8.0,1,0,,1,With no difficulty at all,Construction of,80,50000000.0,Fifty million,52000000.0,Fifty two million,,100,0,0,,,,,,,,,,70,30,No,,,,,,,,No,,Tend to agree,Strongly agree,Tend to agree,,,,,,,,,,,,National ,Too many to count,There is competition among many firms,Increased,No,0.0,Yes,0.0,,,No,,No,,,,,,,,,No,,,Tend to agree,No,,No,No,90,0,0,0,0,10,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,Interest rates were not favorable,,,Yes,80,"Other (including e-money, e-wallet, and mobile money",mpesa,Payment received in less than a day,Above 0 but below 0.5%,80,"Other (including e-money, e-wallet, and mobile money",mpesa,Above 0 but below 0.5%,10,Yes,1.0,Yes,No,,60,"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,10.0,,No,,,Yes,2.0,Yes,2,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,Major obstacle,Major obstacle,No obstacle,Very severe obstacle,Minor obstacle,13,9,12,1,11,10,6,3,5,7,4,2,14,15,8,Practices of competitors in the informal sector,13,9,12,1,11,10,6,3,5,7,4,2,14,15,8,10,9,100.0,,,,,,2.0,2,8,0,0,,,,,,,No,,,No part-time workers,20,0.0,6.0,No,,,Yes,Yes,Minor obstacle,Minor obstacle,650,20000.0,26,Cubic meters,,4000,3800000.0,237500.0,,,,20,13,8,2025,16,0,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,4,Face to face only,No,No,City with population over 1 million,4100,Nairobi,Small (5-19),Construction,Fresh,24.190311,25.206928,32.049328,113,0,0.0
1598279,1911,Other Services,Small,Nairobi,Firm,Retail services,Nairobi,6,No,Fresh,English,29,7,2025,11,50,2024,12,31,94,Interviewer7,,,,,,Limited partnership,,1,Fully domestically owned (private),0,0,0,No,,2004,3,2004,30.0,No,No,,No,,,,Yes,3.0,4.0,0.0,No Losses,,No,,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,1,0,,0,There is only one available internet provider,Retail trade of ,100,6000000.0,six million,10000000.0,ten million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Strongly agree,Strongly agree,Tend to agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,No,0.0,Yes,0.0,,,No,,No,,,,,,50.0,Square Meters,,No,,,Strongly agree,No,,No,No,90,10,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,Yes,60,"Other (including e-money, e-wallet, and mobile money",mpesa,Payment received in less than a day,Above 0 but below 0.5%,80,"Other (including e-money, e-wallet, and mobile money",mpesa,Above 0 but below 0.5%,4,No,,,,,40,"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,Yes,One day or less,No,4,Major obstacle,Major obstacle,Very severe obstacle,Moderate obstacle,Very severe obstacle,Major obstacle,Moderate obstacle,Moderate obstacle,Very severe obstacle,Very severe obstacle,Very severe obstacle,Very severe obstacle,Very severe obstacle,Moderate obstacle,15,12,14,11,1,8,5,7,10,13,4,3,6,2,9,Political instability,15,12,14,11,1,8,5,7,10,13,4,3,6,2,9,6,5,6.0,,,,,,0.0,5,1,0,0,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,Moderate obstacle,Major obstacle,100,5000.0,0,,,3000,2000000.0,400000.0,,4000000.0,,20,29,7,2025,13,1,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,4,Face to face only,Yes,Yes,City with population over 1 million,4752,Nairobi,Small (5-19),Other Services,Fresh,32.14897,32.57379,38.645622,119,0,0.0
1598280,1923,Other Manufacturing,Small,Nyanza and Western,Firm,Retail services,Nyanza and Western,6,No,Fresh,English,15,7,2025,14,40,2024,12,31,94,Interviewer19,,,,,,Sole proprietorship,,1,Fully domestically owned (private),0,0,0,No,,2020,3,2019,5.0,No,No,,No,,,,Yes,3.0,4.0,0.0,No Losses,,No,,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,1,0,,0,With no difficulty at all,Retail trade of ,80,2192361.0,two million one hundred and ninety two thousand three hundred and sixty one,1589600.0,one million  five hundred and eighty nine thousand six hundred,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to disagree,Tend to agree,Tend to disagree,,,,,,,,,,,,Local or in some parts of the country,10.0,There is competition among many firms,Increased,No,0.0,Yes,1.0,No,we brought new designs that we were not selling before we introduced new designs of seat's that we were not selling before before,No,,No,,,,,,400.0,Square Feet,,No,,,Strongly agree,Yes,100000.0,No,No,100,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,Other,,,Yes,10,"Other (including e-money, e-wallet, and mobile money",mobile money,Payment received in less than a day,Above 0 but below 0.5%,50,"Other (including e-money, e-wallet, and mobile money",mobile money,0.0,10,No,,,,,40,"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,Yes,60.0,No payments or gifts are paid,,No,,,Yes,One day or less,No,4,No obstacle,No obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,No obstacle,Minor obstacle,Very severe obstacle,Major obstacle,Minor obstacle,Major obstacle,Major obstacle,6,14,8,11,4,1,15,7,13,9,12,5,10,3,2,Political instability,6,14,8,11,4,1,15,7,13,9,12,5,10,3,2,6,3,100.0,,,,,,3.0,2,4,0,0,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,No obstacle,180,6000.0,Don't know (spontaneous),,,Don't know (spontaneous),600700.0,50000.0,,1300000.0,,10,15,7,2025,15,27,Somewhat truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,5,Face to face only,No,No,Over 250.000 to 1 million,4759,Nyanza and Western,Small (5-19),Other Manufacturing,Fresh,1.2380928,1.2726805,1.707345,150,0,0.0
1598281,1931,Construction,Large,Nairobi,Firm,Other services,Nairobi,250,Yes,Fresh,English,12,7,2025,10,56,2024,12,31,94,Interviewer36,17.0,Yes,Yes,Yes,,Limited partnership,,1,Fully domestically owned (private),0,0,0,No,,1971,5,1971,20.0,No,Yes,ISO9001:2015,No,,,,No,,,,,,Yes,10.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,1,0,,0,With no difficulty at all,Construction of,70,900000000.0,nine hundred million,700000000.0,seven hundred million,,100,0,0,,,,,,,,,,70,30,Yes,Japan,Yes,2.0,0.0,14.0,0.0,20.0,No,,Tend to agree,Tend to agree,Tend to disagree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with more than normal effort,All managers and most production workers,No,,Promotions were based solely on performance and ability,Rarely or never,National ,Too many to count,There is competition among many firms,Stayed the same,No,1.0,Yes,0.0,,,Yes,it is an improved  process whereby  we use automated  roboted lazer cutting and drilling machine The process we used before was a combination of manual and automated process whereby one was supposed  to mark manually  on the steel he was to wor,No,,,,,,,,,No,,,Tend to agree,No,,No,Yes,40,0,0,20,0,40,0,Yes,100000000.0,0.0,80.0,,0.0,,0.0,,0.0,,0.0,,20.0,,0.0,,Yes,No,Yes,Private commercial banks,2022.0,10000000.0,Yes,Yes,No,No,No,No,50000000.0,No,No,No,No need for a loan - establishment had sufficient capital,,,Yes,80,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,80," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,10,Yes,3.0,No,Yes,4.0,72,"Yes, fully","Yes, fully",No,,Refunds take too long to receive,Yes,Moderately difficult,Yes,360.0,2.0,,Yes,7.0,No,Yes,10.0,No,0,No obstacle,No obstacle,Moderate obstacle,No obstacle,Minor obstacle,No obstacle,Minor obstacle,Minor obstacle,No obstacle,Moderate obstacle,Moderate obstacle,No obstacle,Major obstacle,No obstacle,12,13,2,14,1,7,11,6,5,3,8,4,15,9,10,Tax rates,12,13,2,14,1,7,11,6,5,3,8,4,15,9,10,225,200,90.0,,,,,,70.0,30,190,5,0,,,,,,,No,,,25,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,No obstacle,Minor obstacle,2500,80000.0,Don't know (spontaneous),,,Don't know (spontaneous),150000000.0,5000000.0,,,,10,12,7,2025,11,53,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,7,Face to face only,Yes,Yes,City with population over 1 million,4390,Nairobi,Large (100 or more),Construction,Fresh,12.200923,12.42353,13.733076,141,0,0.0
1598282,1946,Other Manufacturing,Medium,East and Northeastern,Firm,Manufacturing,Nairobi,1000,Yes,Fresh,English,31,7,2025,9,47,2024,12,31,94,Interviewer7,5.0,Yes,Yes,Yes,,Shareholding company with non-traded shares or shares traded privately,,0,50,50,0,0,Yes,10.0,1962,10,1962,30.0,No,Yes,iso 9001 iso 45001,No,,,,Yes,5.0,0.0,15.0,2.0,,Yes,2.0,Yes,1.0,No,,,,It is suitable for all operational needs,No,,,1,0,,0,There is only one available internet provider,Manufacturing of ,90,500000000.0,five hundred million,600000000.0,six hundred million,60.0,70,0,30,"Tanzania, United Republic of",Yes,7.0,0.0,5.0,0.0,40.0,Yes,1999.0,10,90,Yes,Japan,Yes,1.0,0.0,7.0,0.0,40.0,No,,Strongly agree,Strongly agree,Tend to disagree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,Yes,Main focus was on short-term (less than one year) production targets,Possible to achieve with more than normal effort,All managers and most production workers,Yes,The firmâs performance,Promotions were based solely on performance and ability,Rarely or never,National ,Too many to count,There is competition among many firms,Increased,No,1.0,Yes,1.0,Yes,introduced saf solar and safcool . they are different  they are cooling rooms used for refrigeration in cold rooms for vaccines and biotechnology.,Yes,we have tried building as many shops as possible to make it convenient  for customer. the new shops  have really helped in convenience so the customer  does not have to go far when he wants to purchase our product,Yes,1000000.0,,,,,,,,No,,,Strongly agree,No,,Yes,Yes,70,0,0,30,0,0,0,Yes,200000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes,Yes,Yes,Private commercial banks,2000.0,10000000.0,No,,,,,,,No,No,No,Other,,,Yes,50,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,80," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,4,No,,,,,60,"Yes, fully","Yes, fully",Yes,Refund still outstanding,,No,,No,,No payments or gifts are paid,,Yes,One day or less,No,Yes,One day or less,No,3,Very severe obstacle,Very severe obstacle,Very severe obstacle,Very severe obstacle,Major obstacle,Major obstacle,Moderate obstacle,Moderate obstacle,Very severe obstacle,Very severe obstacle,Very severe obstacle,Very severe obstacle,Very severe obstacle,Major obstacle,14,11,12,7,9,2,13,3,10,8,15,1,6,4,5,Tax rates,14,11,12,7,9,2,13,3,10,8,15,1,6,4,5,1000,900,99.0,,800.0,200.0,100.0,80.0,,500,200,100,1,800.0,,200.0,,No women employees trained,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,Major obstacle,Major obstacle,100000,100000000.0,500,Liters,,100000,100000000.0,10000000.0,200000000.0,,10000000000.0,30,31,7,2025,11,10,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,4,Face to face only,Yes,Yes,City with population over 1 million,2511,East and Northeastern,Medium (20-99),Other Manufacturing,Fresh,2.480342,2.4931576,3.1064837,91,30,1.0
1598283,1951,Construction,Small,Central,Firm,Other services,Central,12,No,Fresh,English,5,9,2025,15,56,2024,12,31,94,Interviewer10,,,,,,Sole proprietorship,,0,Fully domestically owned (private),0,0,0,No,,2008,8,2008,15.0,No,No,,No,,,,No,,,,,,No,,No,,No,,,,It is suitable for all operational needs,No,,,1,1,5.0,0,With little difficulty,Construction of,80,14400000.0,Fourteen million four hundred thousand,12800000.0,Twelve million eight hundred thousand,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,No,0.0,Yes,0.0,,,No,,No,,,,,,,,,Yes,10.0,Yes,Strongly agree,No,,No,No,100,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,No,80,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,90," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,12,No,,,,,33,"Yes, fully","Yes, fully",No,,Refunds take too long to receive,No,,No,,3.0,,No,,,Yes,11.0,Yes,1,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,No obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Major obstacle,Major obstacle,Moderate obstacle,10,8,9,13,15,5,11,6,3,14,12,4,7,2,1,Tax administration,10,8,9,13,15,5,11,6,3,14,12,4,7,2,1,12,10,80.0,,,,,,5.0,2,8,2,1,,,,,No women employees trained,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,Minor obstacle,Moderate obstacle,145,3625.0,22,Cubic meters,,3750,4320000.0,86400.0,,,,10,5,9,2025,17,5,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,4,Face to face only,No,No,City with population over 1 million,4220,Central,Small (5-19),Construction,Fresh,6.6830487,6.8863378,8.650241,6,0,0.0
1598284,1953,Food,Large,Central,Firm,Manufacturing,Central,212,No,Fresh,English,23,6,2025,11,54,2024,12,31,94,Interviewer10,,,,,,Sole proprietorship,,0,Fully domestically owned (private),0,0,0,No,,1982,15,1982,11.0,No,No,,No,,,,No,,,,,,Yes,2.0,No,,No,,,,It is suitable for all operational needs,No,,,1,1,5.0,0,With no difficulty at all,Manufacturing of ,100,228960000.0,"Two hundred and twenty eight million  ,nine hundred and sixty thousand",212312000.0,Two hundred and twelve million three hundred and twelve thousand,100.0,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Strongly agree,Strongly agree,Strongly agree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,1-2 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with some effort,All managers and most production workers,Yes,Their own performance,Promotions were based solely on performance and ability,Rarely or never,National ,Too many to count,There is competition among many firms,Increased,Yes,0.0,Yes,0.0,,,No,,No,,,,,,,,,No,,,Strongly agree,No,,Yes,Yes,100,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,No,80,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,80," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,8,No,,,,,31,"Yes, fully","Yes, fully",No,,The application for a refund is too complicated,Yes,Not difficult at all,Yes,24.0,No payments or gifts are paid,,No,,,Yes,8.0,Yes,1,Minor obstacle,Minor obstacle,Minor obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,Minor obstacle,Moderate obstacle,Major obstacle,Major obstacle,No obstacle,4,11,2,13,14,1,12,6,8,3,7,10,15,9,5,Tax administration,4,11,2,13,14,1,12,6,8,3,7,10,15,9,5,185,163,70.0,,150.0,35.0,72.0,15.0,,35,85,30,1,150.0,,35.0,,87.0,,No,,,27,No full-time seasonal or temporary workers,,,No,,,No,,Minor obstacle,Minor obstacle,600,9700.0,200,Cubic meters,,25100,76320000.0,2289600.0,23896000.0,,389526000.0,10,23,6,2025,13,25,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,4,Face to face only,No,No,City with population over 1 million,1071,Central,Large (100 or more),Food,Fresh,3.7018013,3.6775928,3.6319923,26,0,0.0
