idstd,id,a4a,a6a,a2,a1c,a0,a3a,a6c,a7,panel,a1a,a14d,a14m,a14y,a14h,a14min,a20y,a20m,a20d,a1,a12,a7a,a7b,a11,a7c,a9,b1,b1x,b3a,b2a,b2b,b2c,b2d,b4,b4a,b5,b6,b6b,b7,b7a,b8,b8x,c3,c4,c5,c31,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c43,c44,c12,c13,c14,c33,c45,c152,c162,c172,c22b,c36,c37,c39,c42,d1a1a,d1a3,d2,d2x,n3,n3x,f1,d3a,d3b,d3c,d31x,d42,d43a,d43b,d4a,d4b,d342,d352,d8,d12a,d12b,d13,d38x,d44,d45a,d45b,d14a,d14b,d412,o1,o2,o3a2,o3b2,j31,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e312,e32,e33,e6,e11,h1,h2,h32x,h5,h62x,h8,h9,d1a6a,d1a6b,d1a6c,d1a6cx,g5a,g5b,g5bx,g2,g3,g4,g34,ge3,ge3a,ge7,ge8d,k3a,k3i,k3j,k3bc,k3e,k3f,k3dgh,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5j,k5j1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5dgh,k5dgh1,k6,k82b,k82a,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15d,k162a,k162b,k17,k20a1,k32,k21,k33,k342,k342x,k35,k36,k38,k392,k392x,k40,j2,j3,j4,j5,j32,j33,j35,j36,j37,j38,j39,j40,j6a,j41,j42,j43,j7a,j7b,j10,j11,j12,j13,j14,j15,k30,g30a,j30c,j30f,h30,i30,d30b,c30a,l30b,l30a,j30e,e30,j30b,j30a,d30a,k30_finance_pos,g30_land_pos,j30_permit_pos,j30_corruption_pos,j30_courts_pos,j30_crime_pos,d30_trade_pos,c30_electricity_pos,l30_workforce_pos,l30_labor_pos,j30_instability_pos,e30_informal_pos,j30_taxadmin_pos,j30_taxrate_pos,d30_transport_pos,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,l1,l2,l9b,l9b1,l3a,l3b,l5a,l5b,l5,l4a1,l4a2,l4b,l10,l11a1,l11a,l11b1,l11b,l12a1,l12a,l34,l35,l36,l1a,l6,l6a,l8,l37,l38a,l38b,l40,l41,l30d,l30c,c32,c32b,c34,c34b,c34bx,c34c,n2a,n2a2,n2e,n2i,n7a,n11,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a1d,a3b,a3c,a3,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata,d3c_raw,exporter
1614239,429,Other Services,Small,Central,Establishment,Retail services,Central,16,No,Panel,English,17,4,2025,16,20,2024,12,31,36,9,,,,,,Shareholding company with shares traded on the stock market,,1.0,Fully domestically owned (private),0.0,0,0,No,,1950,5,1950,30.0,No,Yes,iso 900,No,,,,No,,,,,,No,,No,,No,,,,It is suitable for all operational needs,No,,,1,0,,0.0,Unable to change provider,Retail trade of ,100,18000000000.0,eighteen billion,16000000000.0,sixteen billion,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Strongly agree,Tend to agree,Tend to agree,,,,,,,,,,,,National ,Too many to count,There is competition among many firms,Increased,No,0,No,0,,,No,,No,,,,,,Don't know (spontaneous),,,No,,,Strongly agree,No,,No,No,80,20,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,No,20,"Other (including e-money, e-wallet, and mobile money","momo pay, merchant pay",Payment received in less than a day,Above 0 but below 0.5%,20,"Other (including e-money, e-wallet, and mobile money","merchant pay, momo pay",Above 0 but below 0.5%,No time spent,No,,,,,One hour or less,"Yes, fully","Yes, fully",Yes,2.0,,No,,No,,No payments or gifts are paid,,No,,,No,,,0.0,Minor obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Major obstacle,No obstacle,No obstacle,No obstacle,10,12,1,7,9,11,4,14,5,13,2,15,6,3,8,Practices of competitors in the informal sector,10,12,1,7,9,11,4,14,5,13,2,15,6,3,8,16,13,100.0,,,,,,3.0,13,3,0,0,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,No obstacle,2050,1640324.0,541308,Liters,,2219362,2000000000.0,150000000.0,,1000000000.0,,30,17,4,2025,17,30,Somewhat truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,1,Face to face only,Yes,Yes,City with population over 1 million,4730,Central,Small (5-19),Other Services,Panel,153.42749,157.86736,293.1415,8,0,0.0
1614240,431,Other Services,Small,Central,Establishment,Other services,Central,20,Yes,Panel,English,13,8,2025,20,7,2024,12,31,36,3,2.0,Yes,Yes,Yes,,Sole proprietorship,,1.0,Fully domestically owned (private),0.0,0,0,No,,2005,5,2005,30.0,No,Yes,ISO 22000,No,,,,Yes,5.0,7.0,0.0,10.0,,Yes,10.0,No,,No,,,,It is suitable for all operational needs,No,,,1,0,,0.0,With no difficulty at all,Restaurant,80,500000000.0,FIVE HUNDRED MILLION,100000000.0,ONE HUNDRED MILLION,,100,0,0,,,,,,,,,,90,10,No,,,,,,,,No,,Tend to agree,Tend to agree,Strongly agree,Does not apply (spontaneous),Yes,3-9 production performance indicators,Yes,Main focus was on short-term (less than one year) production targets,Only possible to achieve with extraordinary effort,Most managers and some production workers,No,,Does not apply (spontaneous),Does not apply (spontaneous),Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,Yes,0,Yes,0,,,No,,No,,,,,,,,,No,,,Strongly agree,No,,No,No,100,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,Don't know (spontaneous),No,No,Did not think it would be approved,,,Yes,10,"Other (including e-money, e-wallet, and mobile money",MOBILE MONEY,Payment received in less than a day,Above 0 but below 0.5%,10,"Other (including e-money, e-wallet, and mobile money",MOBILE MONEY,Above 0 but below 0.5%,No time spent,Yes,2.0,No,No,,40,"Yes, fully","Yes, fully",No,,Don't know (spontaneous),No,,No,,No payments or gifts are paid,,No,,,Yes,4.0,No,2.0,Minor obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,Minor obstacle,Major obstacle,No obstacle,13,12,2,7,4,1,11,10,9,14,15,3,6,8,5,Tax rates,13,12,2,7,4,1,11,10,9,14,15,3,6,8,5,20,5,100.0,,,,,,13.0,7,10,3,0,,,,,,,No,,,7,13,6.0,3.0,No,,,No,,No obstacle,No obstacle,4000,4000000.0,500,Cubic meters,,500000,100000000.0,12000000.0,,,,Refusal (spontaneous),13,8,2025,21,10,Truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,1,Face to face only,Yes,Yes,City with population over 1 million,5630,Central,Small (5-19),Other Services,Panel,153.42749,157.86736,293.1415,8,0,0.0
1614241,434,Retail,Small,Central,Establishment,Retail services,Central,23,No,Panel,English,5,4,2025,10,37,2024,12,31,36,9,,,,,,Sole proprietorship,,1.0,Fully domestically owned (private),0.0,0,0,No,,2016,23,2016,15.0,No,No,,No,,,,No,,,,,,No,,No,,No,,,,It is suitable for all operational needs,No,,,0,0,,0.0,Don't know (spontaneous),Retail trade of ,80,75000000.0,seventy-five million,50000000.0,fifty million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to agree,Tend to agree,We fixed it and took action to make sure it did not happen again,No,,Yes,Combination of short term and long term production targets,Possible to achieve with normal amount of effort,Most managers and some production workers,No,,Non-managers are normally not promoted,Rarely or never,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,No,0,No,0,,,No,,No,,,,,,Don't know (spontaneous),,,No,,,Tend to agree,No,,No,No,60,40,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,No,10,"Other (including e-money, e-wallet, and mobile money",mobile money,Payment received in less than a day,Above 0 but below 0.5%,10,"Other (including e-money, e-wallet, and mobile money",mobile money,Above 0 but below 0.5%,No time spent,No,,,,,Don't know (spontaneous),"Yes, fully","Yes, fully",Yes,3.0,,No,,No,,20.0,,No,,,No,,,0.0,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,5,11,2,3,6,9,13,8,10,12,15,14,7,4,1,Tax rates,5,11,2,3,6,9,13,8,10,12,15,14,7,4,1,18,15,100.0,,,,,,6.0,3,10,5,1,,,,,5.0,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,No obstacle,313,250000.0,Don't know (spontaneous),,,350000,35000000.0,1750000.0,,Don't know (spontaneous),,35,5,4,2025,12,15,Somewhat truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,1,Face to face only,Yes,Yes,City with population over 1 million,4722,Central,Small (5-19),Retail,Panel,287.75644,316.3196,572.6954,6,0,0.0
1614242,436,Other Manufacturing,Large,Central,Establishment,Other services,Central,40,No,Panel,English,28,5,2025,9,56,2024,12,31,36,19,,,,,,Limited partnership,,0.0,0,100.0,0,0,No,,1986,80,1986,25.0,No,Yes,ISO 9000,No,,,,Yes,3.0,0.0,30.0,No Losses,,Yes,1.0,No,,No,,,,It is suitable for all operational needs,No,,,1,0,,0.0,With no difficulty at all,Other services ,90,4000000000.0,Four billion,400000000.0,Four hundred million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Strongly agree,Strongly agree,Strongly agree,Does not apply (spontaneous),Yes,3-9 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with more than normal effort,Most managers and some production workers,Yes,Their own performance,Promotions were based solely on performance and ability,Does not apply (spontaneous),Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,No,0,Yes,0,,,No,,No,,,,,,,,,No,,,Strongly agree,No,,Yes,Yes,40,20,0,0,0,40,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,Did not think it would be approved,,,No,75,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,80," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,No,,,,,30,"Yes, fully","Yes, fully",No,,Not eligible,No,,No,,3.0,,No,,,No,,,0.0,No obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Major obstacle,No obstacle,2,7,14,6,8,1,4,13,11,10,12,5,15,9,3,Tax rates,2,7,14,6,8,1,4,13,11,10,12,5,15,9,3,80,20,50.0,,,,,,20.0,50,20,10,0,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,Minor obstacle,Minor obstacle,300,113700.0,2000,Cubic feet,,50000,100000000.0,30000000.0,,,,3,28,5,2025,12,36,Truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,1,Face to face only,Yes,Yes,City with population over 1 million,4530,Central,Large (100 or more),Other Manufacturing,Panel,3.740654,5.2054925,7.293482,20,0,0.0
1614243,448,Other Services,Small,Central,Establishment,Other services,Central,10,No,Panel,English,23,9,2025,10,46,2024,12,31,36,19,,,,,,Limited partnership,,1.0,Fully domestically owned (private),0.0,0,0,Yes,100.0,2005,5,2005,14.0,Yes,No,,No,,,,No,,,,,,Yes,1.0,No,,No,,,,It is suitable for all operational needs,No,,,0,0,,0.0,With no difficulty at all,Restaurant,100,40000000.0,Forty million,20000000.0,Twenty million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,No,0,Yes,0,,,No,,No,,,,,,,,,No,,,Strongly agree,No,,Yes,Yes,40,10,0,0,0,50,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,Yes,40,"Other (including e-money, e-wallet, and mobile money",Mobile money,Payment received in less than a day,Above 0 but below 0.5%,50,"Other (including e-money, e-wallet, and mobile money",Mobile money,Above 0 but below 0.5%,No time spent,No,,,,,30,"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,1.0,,No,,,No,,,1.0,Minor obstacle,Minor obstacle,Minor obstacle,No obstacle,Minor obstacle,Minor obstacle,No obstacle,Minor obstacle,Minor obstacle,No obstacle,Minor obstacle,Moderate obstacle,Major obstacle,Minor obstacle,3,1,10,11,4,9,14,12,6,15,13,7,2,5,8,Tax rates,3,1,10,11,4,9,14,12,6,15,13,7,2,5,8,10,5,10.0,,,,,,7.0,10,0,0,0,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,Minor obstacle,Minor obstacle,600,227400.0,4000,Cubic feet,,80000,25000000.0,6000000.0,,,,3,23,9,2025,11,50,Truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,1,Face to face only,Yes,Yes,City with population over 1 million,5610,Central,Small (5-19),Other Services,Panel,153.42749,157.86736,293.1415,8,0,0.0
1614244,449,Other Services,Medium,Eastern,Establishment,Other services,Eastern,6,No,Panel,English,4,6,2025,13,7,2024,12,31,36,16,,,,,,Partnership,,1.0,Fully domestically owned (private),0.0,0,0,No,,2017,3,2017,20.0,No,No,,No,,,,Yes,5.0,3.0,0.0,No Losses,,No,,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,0,0,,0.0,With no difficulty at all,"Repair of motor vehicles, computers, or household goods",100,28000000.0,twenty eight million,21000000.0,twenty one million,,100,0,0,,,,,,,,,,75,25,No,,,,,,,,No,,Tend to agree,Tend to agree,Tend to agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,No,0,Yes,0,,,Yes,we now help our customers to wash their cars after repair and also put greese,No,,,,,,,,,No,,,Tend to disagree,No,,No,Yes,40,60,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,Application procedures were complex,,,No,2,"Other (including e-money, e-wallet, and mobile money",mobile money,Payment received in less than a day,2.0,15,"Other (including e-money, e-wallet, and mobile money",mobile money,Above 0 but below 0.5%,20,Yes,2.0,No,No,,One hour or less,"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,Yes,4.0,No,2.0,No obstacle,Minor obstacle,Minor obstacle,No obstacle,Major obstacle,Moderate obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Major obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,15,9,2,12,7,4,10,13,11,3,14,5,1,6,8,"Crime, theft and disorder",15,9,2,12,7,4,10,13,11,3,14,5,1,6,8,6,4,30.0,,,,,,0.0,2,4,0,0,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,Minor obstacle,800,1000000.0,200,Cubic meters,,120000,14000000.0,5000000.0,,,,30,4,6,2025,14,7,Truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,1,Face to face only,No,No,Over 250.000 to 1 million,4520,Eastern,Medium (20-99),Other Services,Panel,24.926422,30.588707,60.902103,60,0,0.0
1614245,451,Other Services,Small,Northern,Establishment,Other services,Northern,15,No,Panel,English,28,9,2025,14,7,2024,12,31,36,14,,,,,,Sole proprietorship,,1.0,Fully domestically owned (private),0.0,0,0,No,,2000,3,2001,26.0,No,No,,No,,,,Yes,4.0,2.0,40.0,No Losses,,No,,No,,No,,,,It is suitable for all operational needs,No,,,0,0,,0.0,With little difficulty,Construction of,90,295300000.0,Two hundred ninety five million three hundred thousand,187000000.0,One hundred eighty seven million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Strongly agree,Tend to agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,Yes,0,No,0,,,No,,No,,,,,,,,,No,,,Tend to disagree,No,,No,No,90,10,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,No,80,"Bank transfers, including through online and mobile banking",,3.0,0.0,20," Bank transfers, including through online and mobile banking",,0.0,No time spent,Yes,1.0,No,No,,One hour or less,"Yes, fully","Yes, fully",No,,Not eligible,No,,Yes,20.0,No payments or gifts are paid,,No,,,No,,,0.0,No obstacle,No obstacle,Minor obstacle,Minor obstacle,Minor obstacle,No obstacle,Minor obstacle,Minor obstacle,Minor obstacle,No obstacle,Minor obstacle,Moderate obstacle,Very severe obstacle,Moderate obstacle,13,6,3,4,10,7,1,15,11,12,2,9,14,8,5,Tax rates,13,6,3,4,10,7,1,15,11,12,2,9,14,8,5,11,11,100.0,,,,,,5.0,6,3,2,0,,,,,,,No,,,3,3,2.0,2.0,No,,,No,,Minor obstacle,Moderate obstacle,115,115000.0,67,Cubic meters,,335000,35000000.0,4100000.0,,,,2,28,9,2025,15,28,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,Face to face only,No,No,Over 250.000 to 1 million,4100,Northern,Small (5-19),Other Services,Panel,5.413863,3.2362955,6.444621,76,0,0.0
1614246,452,Retail,Small,Eastern,Establishment,Manufacturing,Eastern,15,No,Panel,English,1,7,2025,10,58,2024,12,31,36,16,,,,,,Sole proprietorship,,1.0,Fully domestically owned (private),0.0,0,0,Yes,100.0,1986,10,1994,15.0,No,No,,No,,,,Yes,3.0,4.0,0.0,1.0,,No,,No,,Yes,14.0,No,400000.0,It is suitable for all operational needs,Yes,1.0,8.0,0,1,7.0,1.0,With little difficulty,Manufacturing of ,80,45000000.0,forty five million,33000000.0,thirty three million,70.0,100,0,0,,,,,,,,,,90,10,No,,,,,,,,No,,Tend to agree,Strongly agree,Strongly agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,No,0,Yes,0,,,No,,No,,,,,,,,,No,,,Strongly agree,No,,No,Yes,100,0,0,0,0,0,0,Yes,15000000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes,Yes,Yes,Private commercial banks,2024.0,50000000.0,Yes,Yes,Yes,No,No,No,60000000.0,Yes,Yes,No,,Application was approved in full,21.0,Yes,1,"Other (including e-money, e-wallet, and mobile money",mobile money,Payment received in less than a day,Above 0 but below 0.5%,60,"Other (including e-money, e-wallet, and mobile money",mobile money,2.0,5,Yes,3.0,No,Yes,8.0,One hour or less,"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,1.0,,No,,,Yes,One day or less,No,3.0,Moderate obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Major obstacle,Moderate obstacle,Minor obstacle,No obstacle,Major obstacle,Moderate obstacle,Moderate obstacle,Minor obstacle,12,9,11,10,13,5,14,1,4,6,2,15,3,8,7,Electricity,12,9,11,10,13,5,14,1,4,6,2,15,3,8,7,10,10,50.0,,5.0,5.0,2.0,0.0,,4,1,0,1,5.0,,5.0,,2.0,,No,,,5,4,0.0,One month or less,No,,,Yes,Yes,No obstacle,No obstacle,2000,2000000.0,121951,Liters,,500000,15000000.0,4500000.0,20000000.0,,100000000.0,30,1,7,2025,11,51,Truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,1,Face to face only,No,No,Over 250.000 to 1 million,3100,Eastern,Small (5-19),Retail,Panel,51.27469,61.413673,120.16293,50,0,0.0
1614247,457,Retail,Small,Northern,Establishment,Retail services,Northern,6,No,Panel,English,25,4,2025,15,57,2024,12,31,36,14,,,,,,Partnership,,1.0,Fully domestically owned (private),0.0,0,0,Yes,40.0,1997,8,1998,28.0,No,No,,No,,,,Yes,9.0,5.0,40.0,,2400000.0,No,,No,,No,,,,It is suitable for all operational needs,No,,,0,0,,0.0,With no difficulty at all,Retail trade of ,100,52400000.0,Fifty two million four hundred thousand,15000000.0,Fifteen million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Strongly agree,Tend to agree,Tend to agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,Yes,1,Yes,0,,,Yes,"Boiling the milk whenever power is off, this is to preserve the milk not to go bad, by this I mean the milk that is not in the cooler",No,,,,,,60.0,Square Meters,,No,,,Tend to agree,No,,No,No,70,10,0,20,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,Yes,Private commercial banks,2023.0,3000000.0,Yes,Yes,Yes,Yes,No,No,5000000.0,No,No,No,No need for a loan - establishment had sufficient capital,,,No,15,"Other (including e-money, e-wallet, and mobile money",Mobile money,Payment received in less than a day,0.0,5,"Other (including e-money, e-wallet, and mobile money",Mobile money,0.0,4,Yes,2.0,No,No,,One hour or less,"Yes, partially","Yes, partially",No,,The establishment did not need to request a refund,Yes,Somewhat difficult,No,,No payments or gifts are paid,,No,,,No,,,3.0,No obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,Minor obstacle,Major obstacle,Minor obstacle,Moderate obstacle,No obstacle,11,3,13,2,14,10,4,12,8,15,6,9,5,7,1,Tax administration,11,3,13,2,14,10,4,12,8,15,6,9,5,7,1,5,5,100.0,,,,,,3.0,3,2,0,0,,,,,,,No,,,1,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,No obstacle,250,250000.0,15,Cubic meters,,75000,3100000.0,400000.0,,Don't know (spontaneous),,1,25,4,2025,17,45,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,Face to face only,No,No,Over 250.000 to 1 million,4721,Northern,Small (5-19),Retail,Panel,41.880135,43.730415,80.2275,74,0,0.0
1614248,461,Food,Small,Central,Establishment,Other services,Central,25,Yes,Panel,English,10,7,2025,17,51,2024,12,31,36,15,2.0,Yes,Yes,Yes,,Shareholding company with non-traded shares or shares traded privately,,1.0,Fully domestically owned (private),0.0,0,0,Yes,25.0,1994,5,1994,20.0,No,No,,No,,,,No,,,,,,Yes,20.0,No,,No,,,,It is suitable for only some operational needs,No,,,0,0,,0.0,With no difficulty at all,Wholesale trade of ,80,,,Don't know (spontaneous),,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Strongly disagree,Strongly disagree,Strongly disagree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with normal amount of effort,All managers and most production workers,Yes,Their own performance,Promotions were based solely on performance and ability,Does not apply (spontaneous),National ,Too many to count,There is competition among many firms,Increased,No,0,Yes,0,,,No,,No,,,,,,,,,No,,,Strongly disagree,No,,Yes,Yes,100,0,0,0,0,0,0,Yes,7000000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes,No,No,,,,,,,,,,,No,No,No,Collateral requirements were too high,,,No,80,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,90,"Other (including e-money, e-wallet, and mobile money",mobile money,0.0,1,Yes,1.0,No,No,,One hour or less,"Yes, fully","Yes, fully",No,,The application for a refund is too complicated,No,,No,,No payments or gifts are paid,,No,,,No,,,2.0,Very severe obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,Very severe obstacle,No obstacle,No obstacle,Major obstacle,Very severe obstacle,Moderate obstacle,Moderate obstacle,Minor obstacle,12,1,11,13,10,9,14,3,7,4,2,15,5,6,8,Electricity,12,1,11,13,10,9,14,3,7,4,2,15,5,6,8,25,25,10.0,,,,,,5.0,10,10,5,0,,,,,,,No,,,2,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,No obstacle,3750,3000000.0,600,Liters,,200000,Don't know (spontaneous),,,,,Refusal (spontaneous),12,7,2025,18,17,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,Face to face only,Yes,Yes,City with population over 1 million,4630,Central,Small (5-19),Food,Panel,28.58119,28.141558,41.197598,2,0,0.0
1614249,462,Retail,Medium,Eastern,Establishment,Retail services,Eastern,12,No,Panel,English,10,5,2025,14,36,2024,12,31,36,6,,,,,,Sole proprietorship,,1.0,Fully domestically owned (private),0.0,0,0,No,,2001,5,2001,20.0,No,No,,No,,,,Yes,2.0,1.0,59.0,,5000000.0,Yes,10.0,No,,No,,,,It is suitable for all operational needs,No,,,1,0,,0.0,With little difficulty,Retail trade of ,70,500000000.0,FIVE HUNDRED MILLION,300000000.0,THREE HUNDRED MILLION,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Strongly disagree,Strongly disagree,,,,,,,,,,,,National ,Too many to count,There is competition among many firms,Increased,No,0,Yes,0,,,No,,No,,,,,,2023.0,Square Meters,,No,,,Tend to agree,Yes,13000000.0,No,Yes,60,10,0,30,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,Yes,No,,Application was approved in full,7.0,Yes,5,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,15," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,10,Yes,2.0,No,Yes,2.0,30,"Yes, fully","Yes, fully",No,,Refunds take too long to receive,Yes,Not difficult at all,Yes,30.0,No payments or gifts are paid,,No,,,Yes,3.0,No,0.0,Major obstacle,Minor obstacle,Minor obstacle,No obstacle,Major obstacle,Minor obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,Major obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,12,3,2,6,7,10,13,15,4,11,14,1,9,5,8,Transport,12,3,2,6,7,10,13,15,4,11,14,1,9,5,8,12,12,12.0,,,,,,4.0,2,2,8,0,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,No obstacle,Don't know (spontaneous),1870000.0,Don't know (spontaneous),,,250000,54000000.0,16200000.0,,350000000.0,,30,10,5,2025,15,14,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,Face to face only,No,No,Over 250.000 to 1 million,4730,Eastern,Medium (20-99),Retail,Panel,22.933758,25.695175,49.287643,58,0,0.0
