idstd,id,a4a,a6a,a2,a1c,competition_select,tax_select,vat_applicable,a4b_v4,a0,a3a,a6c,a6b,a7,a1a,a14d,a14m,a14y,a14h,a14min,ic1,a20y,a20m,a20d,a1,a12,a7a,a7b,a11,a7c,a9,b1,b1x,b3a,b2a,b2b,b2c,b2d,b4,TZb1,TZb2,TZb3,b4a,b5,b6,b6b,b7,b7a,TZb4,TZb5,b8,b8x,c3,c4,c5,c31,c32,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c12,c13,c14,c33,c34,c34b,c34bx,c152,c162,c172,c35a,c35b,c22b,TZc1,c36,c37,c38,c39,c40a,c40b,c41a,c41b,c42,c30a,d1a1a,d1a6a,d1a6b,d1a6c,d1a6cx,d1a3,d2,d2x,d2a1,d2a1x,n3,n3x,d3a,d3b,d3c,TZd1a,TZd1b,TZd1c,TZd1d,TZd1e,d31x,d32,d4a,d4b,d33a,d33b,d34,d35,d36a,d36b,d37,d8,d12a,d12b,d13,TZd2a,TZd2b,TZd2c,TZd2d,d38x,d39,d14a,d14b,d40a,d40b,d41,TZd3,TZd4,d30a,d30b,o1,o2,o3a,o3b,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e31a,e31b,e6,e11,e32,e33,e34,e35,e30,h1,h2,h3x,h4x,h5,h6x,h7x,h8,h9,f1,g2,g3,g4,g31,g32,g33,g5a,g5b,g5bx,g30a,ge3,ge3a,ge7,ge8d,k3a,k3bc,k3e,k3f,k3hd,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5hdj,k5hdj1,k4b,n5c,n5d,k6,k7,k82,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15b,k15c,k15d,k162,k17,k20a1,k31,k32,k21,k33,k34,k35,k36,k37,k38,k39,k40,k30,TZmm1,TZmm2,TZmm3,TZmm4,TZmm5,j31,j2,j3,j4,j5,j32,j33,j34,j35a,j35b,j36,j37,j38,j39,j40,j6a,j41,j42,j43,j7a,j7b,j10,j11,j12,j13,j14,j15,j30a,j30b,j30c,j30e,j30f,h30,i30,j30_taxrate_pos,j30_taxadmin_pos,j30_permit_pos,j30_instability_pos,j30_corruption_pos,j30_courts_pos,j30_crime_pos,l1,l2,l3a,l3b,l4a1,l4a2,l4b,l5a,l5b,l5,l9b,l9b1,l10,l11a,l11a1,l11b,l11b1,l12a,l12a1,TZl1,l31,l32,l33,TZl2,TZl3a,TZl3b,TZl3c,TZl3d,l34,l35,l36,TZl4,TZl5,l1a,l6,l6a,l8,l37,l38,l39,l40,l41,TZl6,l30a,l30b,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,n2a,n2a2,n2b,n2k,n2l,n2e,n2i,n2a1,n2e1,n7a,n11,n12,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a3b,a3c,a3,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata,d3c_raw,exporter
1181425,21975,Other Services,Large,Zanzibar,Establishment,0,0,Yes,Printing and reproduction of recorded media,Manufacturing,Zanzibar,10,Small,No,Swahili,12,9,2023,12,55,Yes,2022,12,31,Tanzania,Es030,,,,,,Sole proprietorship,,1.0,100,0.0,0,0,No,No family ownership,,,,2004,5,2013,19.0,No,1,0,No,,No,,,,554,Yes,5.0,4.0,45.0,2.0,,Yes,2.0,No,,,,120,Gallons,,No,,,,,1.0,Yes,0.0,,,1.0,Less than 1 hour,38.0,1.0,,With no difficulty at all,Moderate obstacle,Manufacturing of ,,,,,100,984500000.0,Nine hundred eighty four million and five hundred thousand,800000000.0,eight hundred million,786000000.0,Seven hundred eighty six million,100,0,0,0,40,45,10,5,,,,,,,,,,,,,10,90,Yes,0,10,90,0,Algeria,Airport,5.0,,5.0,,20.0,Through internet,Personal relationship and trust with the top manager of the business,Moderate obstacle,Minor obstacle,No,,Strongly agree,Strongly agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,2.0,,55.0,1.0,Yes,No change,No,No,,No obstacle,0.0,,,,No,,,No,,53.0,No,,,No,,,,,,No obstacle,No,,No,No,100,0,0,0,0,Yes,5600000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,No,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,,,No,16,Mobile money,Payment received in less than a day,Don't know (spontaneous),Don't know (spontaneous),0,,,0.0,No,,,,,Strongly agree,No time was spent,Yes,1.0,No,No,,No,,72.0,No,"Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,Yes,Somewhat difficult,No,,No payments or gifts are paid,,No,,,No,,,Minor obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,2,1,3,5,6,7,4,10.0,8,10.0,0.0,5,3,2,2.0,0.0,,0.0,,0.0,,,,,,,90,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,0,No full-time seasonal or temporary workers,,,No,,,No,,No,Minor obstacle,No obstacle,Electricity,15,9,3,11,6,8,13,10,14,12,5,1,4,7,2,37800000.0,1820000.0,2400000,1800000,1200000,100000000.0,,37800000.0,100000000.0,200000000.0,15,9,12,9,2023,14,22,Somewhat truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,4,No,Yes,City with population over 1 million,1811,Zanzibar,Large (100 or more),Other Services,Fresh,1.0,1.0,1.0,108,0,0.0
1181426,22453,Hotels,Small,Arusha,Establishment,0,1,Yes,Accommodation,Other services,Arusha,6,Small,No,Swahili,20,9,2023,19,3,Yes,2022,12,31,Tanzania,ES002,,,,,,Sole proprietorship,,0.0,100,0.0,0,0,No,100,100.0,0.0,,2003,15,2005,5.0,Yes,1,1,No,,No,,,,114,No,,,,,,No,,No,,,,15000,Other,Liter capacity,No,,,,,0.0,No,0.0,,,0.0,,,,,Unable to change provider,Very severe obstacle,Hotel,10.0,200.0,Square Meters,,90,26780000.0,twenty six million seven hundred eighty thousand,,,9800000.0,Nine Milion eight hundred thousand,100,0,0,100,0,0,0,0,,,,,,,,,,,,,100,0,,100,0,0,0,,,,,,,,Through other business,Size of the business,No obstacle,No obstacle,No,,Tend to agree,Tend to agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,Too many to count,,90.0,0.0,No,"Yes, there is more competition",Prices are regulated,No,,No obstacle,0.0,,,,No,,,No,,,No,,,No,,,,,,Minor obstacle,No,,No,No,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,Collateral requirements were too high,,,,No,0,,,,,1,Other,1.0,4.0,No,,,,,Tend to agree,No time was spent,Yes,5.0,No,No,,No,2.0,,"Yes, fully","Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,No,,,Yes,13.0,No,Very severe obstacle,Minor obstacle,Minor obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,6,2,1,7,5,3,4,6.0,5,,,3,2,1,,,0.0,0.0,,0.0,,,,,,,None,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,7,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,No,No obstacle,No obstacle,Access to finance,6,2,14,7,13,8,4,11,12,15,3,1,5,10,9,14400000.0,1400000.0,480000,250000,0,,,,,,18,5,20,9,2023,20,4,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,6,No,Yes,City with population over 1 million,5510,Arusha,Small (5-19),Hotels,Fresh,137.84264,137.94028,145.76468,7,0,0.0
1181427,22515,Hotels,Large,Dar-es-salaam,Establishment,1,1,Yes,Accommodation,Other services,Dar-es-salaam,343,Large,No,Swahili,12,10,2023,10,0,Yes,2023,7,31,Tanzania,ES022,,,,,,Limited partnership,,0.0,0,100.0,0,0,No,No family ownership,,,,2010,100,2011,20.0,No,13,3,No,,No,,,,Don't know (spontaneous),Yes,1.0,3.0,30.0,Don't know (spontaneous),,Yes,30.0,No,,,,Don't know (spontaneous),,,No,,,,,1.0,Yes,0.0,,,0.0,,,,,With no difficulty at all,Major obstacle,Hotel,230.0,Don't know (spontaneous),,,30,24000000000.0,Twenty four bilion,,,15000000000.0,fifteen billion,100,0,0,70,0,0,0,30,,,,,,,,,,,,,100,0,,100,0,0,0,,,,,,,,Business expo,Size of the business,Minor obstacle,Moderate obstacle,No,,Strongly agree,Strongly agree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",No,,Yes,Main focus was on long-term (one year or more) production targets,Possible to achieve with normal amount of effort,All managers and most production workers,Yes,Their own performance,Promotions were based solely on performance and ability,DOES NOT APPLY (SPONTANEOUS),Local â main product sold mostly in same municipality where establishment is located,Too many to count,Between 50% and 90%,,1.0,No,"Yes, there is more competition",Yes,No,,No obstacle,0.0,,,,No,,,Don't know (spontaneous),,,Yes,Still in process,No,No,,,,,,Very severe obstacle,No,,Yes,Yes,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,,,Yes,80,Credit cards,Payment received in less than a day,Don't know (spontaneous),Don't know (spontaneous),95,Credit cards,Don't know (spontaneous),2.0,No,,,,,Strongly agree,No time was spent,Yes,2.0,No,Yes,3.0,No,48.0,,"Yes, fully","Yes, fully",Yes,Refund still outstanding,The application for a VAT cash refund is too complicated,Yes,Not difficult at all,Yes,Less than one day,No payments or gifts are paid,,Yes,7.0,No,Yes,One day or less,No,Moderate obstacle,Moderate obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,2,5,6,3,7,1,4,343.0,343,,,200,143,0,,,180.0,0.0,,0.0,,,,,,,30,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,0,200,110.0,One month or less,No,,,Yes,Yes,Yes,No obstacle,No obstacle,Electricity,15,11,13,3,7,12,4,14,5,2,8,9,6,1,10,1500210000.0,16002100.0,1440000000,144000000,38400000,,,,,,30,18,12,10,2023,11,22,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with different managers/staff,1.0,20.0,2,No,Yes,City with population over 1 million,5510,Dar-es-salaam,Large (100 or more),Hotels,Fresh,1.8672605,1.8685831,1.885404,54,0,0.0
1181428,22539,Hotels,Unknown,Zanzibar,Establishment,0,1,Yes,Accommodation,Other services,Zanzibar,16,Small,No,Swahili,25,9,2023,12,31,Yes,2023,4,30,Tanzania,Es030,,,,,,Shareholding company with non-traded shares or shares traded privately,,0.0,10,90.0,0,0,Don't know (spontaneous),No family ownership,,,,2009,6,2009,8.0,No,2,0,No,,No,,,,840,Yes,2.0,2.0,0.0,None,,Yes,2.0,No,,,,30000,Other,Liters,Yes,3.0,4.0,1.0,,1.0,Yes,0.0,,,0.0,,,,,With no difficulty at all,Moderate obstacle,Hotel,24.0,360.0,Square Meters,,100,246000000.0,Two hundred forty-six million,,,136000000.0,One hundred thirty-six million,100,0,0,0,0,0,100,0,,,,,,,,,,,,,70,30,No,0,30,70,0,,,,,,,,Through other business,Personal relationship and trust with the top manager of the business,No obstacle,No obstacle,No,,Tend to agree,Tend to agree,,,,,,,,,,,,National â main product sold mostly across the country where establishment is located,Too many to count,,Don't know (spontaneous),0.0,No,No change,No,No,,No obstacle,0.0,,,,No,,,No,,,No,,,No,,,,,,Moderate obstacle,No,,Yes,Yes,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,Don't know (spontaneous),No,No need for a loan - establishment had sufficient capital,,,,Yes,95,"Internet and mobile banking, including direct debit transfer",Payment received in less than a day,3.0,Don't know (spontaneous),0,,,0.0,No,,,,,Tend to agree,No time was spent,Yes,2.0,No,No,,No,354.0,,"Yes, partially","Yes, fully",,,,No,,No,,No payments or gifts are paid,,No,,,No,,,Moderate obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,2,1,3,4,5,7,6,16.0,15,,,5,7,4,,,9.0,0.0,,1.0,,,,,100.0,,25,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,0,5,3.0,3.0,No,,,No,,No,No obstacle,Major obstacle,Inadequately educated workforce,12,8,1,4,5,14,11,13,10,15,9,2,6,7,3,76400000.0,9168000.0,2400000,1800000,800000,,,,,,15,8,25,9,2023,13,37,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,4,No,Yes,City with population over 1 million,5510,Zanzibar,Unknown,Hotels,Fresh,8.832935,8.918026,8.429534,112,0,0.0
1181429,23000,Other Manufacturing,Small,Mbeya,Establishment,0,0,Yes,Wearing apparel,Manufacturing,Mbeya,7,Small,No,Swahili,18,9,2023,9,57,Yes,2022,12,31,Tanzania,ES025,,,,,,Sole proprietorship,,1.0,100,0.0,0,0,No,No family ownership,,,,2003,3,2003,7.0,No,2,1,No,,No,,,,72,No,,,,,,No,,No,,,,2,Gallons,,No,,,,,0.0,No,0.0,,,0.0,,,,,Don't know (spontaneous),Moderate obstacle,Manufacturing of ,,,,,100,12000000.0,Twelve Milion,20000000.0,Twenty Milion only,16000000.0,sixteen million,100,0,0,100,0,0,0,0,,,,,,,,,,,,,100,0,,100,0,0,0,,,,,,,,Through other business,Size of the business,No obstacle,Minor obstacle,No,,Tend to agree,Strongly agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,Too many to count,,Don't know (spontaneous),0.0,Yes,"Yes, there is more competition",No,No,,Major obstacle,0.0,,,,No,,,No,,65.0,No,,,No,,,,,,Moderate obstacle,No,,No,No,100,0,0,0,0,No,,,,,,,,,,,,,,,No,,,No,No,No,,,,,,,,,,,,,No,No,Size of loan and maturity were insufficient,,,,No,0,,,,,5,Mobile money,Don't know (spontaneous),4.0,Yes,None,None,5.0,None,Tend to agree,No time was spent,No,,,,,No,,5.0,No,"Yes, fully",,,,No,,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,Very severe obstacle,Major obstacle,Moderate obstacle,Minor obstacle,No obstacle,Very severe obstacle,6,4,2,7,1,5,3,7.0,4,6.0,1.0,1,2,3,6.0,1.0,,40.0,,0.0,,,,,,,None,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,4,3,3.0,10.0,No,,,No,,No,Minor obstacle,No obstacle,Access to finance,13,4,12,7,14,11,3,2,10,15,5,8,6,1,9,600000.0,0.0,360000,50000,0,100000.0,,700000.0,120000.0,300000.0,15,6,18,9,2023,11,20,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,3,No,No,City with population over 1 million,1410,Mbeya,Small (5-19),Other Manufacturing,Fresh,84.87583,84.53532,102.84488,70,0,0.0
1181430,23042,Food,Medium,Mbeya,Establishment,0,1,Yes,Retail,Retail services,Dodoma,5,Small,No,Swahili,17,9,2023,12,22,Yes,2023,7,31,Tanzania,ES015,,,,,,Sole proprietorship,,1.0,100,0.0,0,0,No,100,100.0,0.0,,2019,4,2019,3.0,No,5,1,No,,No,,,,94,No,,,,,,No,,No,,,,23,Cubic meters,,No,,,,,0.0,No,0.0,,,0.0,,,,,There is only one available internet provider,Moderate obstacle,Retail trade of ,,,,,100,39000000.0,Thirty nine million,,,41000000.0,Forty one million,100,0,0,100,0,0,0,0,,,,,,,,,,,,,100,0,,100,0,0,0,,,,,,,,Business expo,Personal relationship and trust with the top manager of the business,No obstacle,Minor obstacle,No,,Tend to agree,Strongly agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,Too many to count,,10.0,0.0,No,No change,Prices are regulated,No,,No obstacle,0.0,,,,No,,,No,,,No,,,No,,,120.0,Square Meters,,Minor obstacle,No,,No,No,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,Application procedures were complex,,,,No,0,,,,,10,"Internet and mobile banking, including direct debit transfer",5.0,2.0,No,,,,,Tend to agree,No time was spent,No,,,,,No,One hour or less,,"Yes, partially","Yes, partially",No,,VAT cash refunds take too long to receive,No,,No,,No payments or gifts are paid,,No,,,No,,,Moderate obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,3,1,4,6,2,7,5,5.0,4,,,1,1,3,,,1.0,65.0,,0.0,,,,,,,None,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,0,5,1.0,3.0,No,,,No,,No,No obstacle,Minor obstacle,Tax rates,3,5,8,1,2,12,10,14,11,6,13,7,15,4,9,16500000.0,500000.0,460000,276000,0,,0.0,,,,10,10,17,9,2023,13,14,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,2,No,No,City with population over 1 million,4719,Mbeya,Medium (20-99),Food,Fresh,5.120562,5.100018,5.8424015,78,0,0.0
1181431,23167,Hotels,Small,Zanzibar,Establishment,0,1,Yes,Accommodation,Other services,Zanzibar,18,Small,No,Swahili,11,11,2023,16,3,Yes,2022,12,31,Tanzania,ES021,,,,,,Partnership,,0.0,100,0.0,0,0,No,No family ownership,,,,2007,6,2007,6.0,No,4,2,No,,No,,,,1400,No,,,,,,Yes,2.0,No,,,,46,Cubic meters,,No,,,,,1.0,Yes,0.0,,,1.0,Less than 1 hour,54.0,2.0,,With no difficulty at all,Moderate obstacle,Hotel,28.0,100.0,Square Feet,,100,600000000.0,Six hundred million,,,400000000.0,Four hundred million,100,0,0,100,0,0,0,0,,,,,,,,,,,,,100,0,,100,0,0,0,,,,,,,,Through other business,Historical experience,Moderate obstacle,Major obstacle,No,,Tend to agree,Strongly agree,,,,,,,,,,,,National â main product sold mostly across the country where establishment is located,Too many to count,,40.0,1.0,No,"Yes, there is less competition",Yes,No,,No obstacle,0.0,,,,No,,,No,,,No,,,No,,,,,,Moderate obstacle,No,,No,Yes,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,,,Yes,60,Debit cards,Payment received in less than a day,2.0,3.0,80,Debit cards,2.0,2.0,No,,,,,Tend to agree,3,Yes,3.0,No,Yes,One week or less,"Yes, fully",48.0,,"Yes, fully","Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,Yes,14.0,No,Yes,21.0,No,Moderate obstacle,Very severe obstacle,Moderate obstacle,Minor obstacle,Major obstacle,Moderate obstacle,Very severe obstacle,1,3,4,2,6,5,7,18.0,12,,,8,10,0,,,12.0,100.0,,0.0,,,,,,,25,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,18,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,No,Minor obstacle,Minor obstacle,Tax administration,11,3,4,2,1,12,14,15,9,6,7,13,5,10,8,80600000.0,9060000.0,200000,150000,2000000,,,,,,2,3,11,11,2023,17,18,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,No,Yes,City with population over 1 million,5510,Zanzibar,Small (5-19),Hotels,Fresh,39.938835,40.11246,43.49611,95,0,0.0
1181432,23308,Food,Large,Dodoma,Establishment,1,0,Yes,Food,Manufacturing,Dodoma,42,Medium,No,Swahili,17,7,2023,10,25,Yes,2022,7,31,Tanzania,ES008,,,,,,Sole proprietorship,,0.0,100,0.0,0,0,No,100,33.0,0.0,,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),10.0,No,3,2,No,,No,,,,2000,Yes,Don't know (spontaneous),,,Don't know (spontaneous),,No,,No,,,,Don't know (spontaneous),,,No,,,,,0.0,No,0.0,,,0.0,,,,,Don't know (spontaneous),Moderate obstacle,Manufacturing of ,,,,,100,,,Don't know (spontaneous),,Don't know (spontaneous),,100,0,0,100,0,0,0,0,,,,,,,,,,,,,100,0,,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),,,,,,,,Business expo,Historical experience,No obstacle,No obstacle,Yes,Yes,Strongly agree,Strongly agree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Don't know (spontaneous),,Yes,Combination of short term and long term production targets,Targets were not achieved,Only senior managers,No,,Promotions were based solely on performance and ability,Rarely or never,Local â main product sold mostly in same municipality where establishment is located,Too many to count,Below 50%,,0.0,No,No change,Yes,Don't know (spontaneous),,No obstacle,0.0,,,,No,,,Don't know (spontaneous),,Don't know (spontaneous),No,,,No,,,,,,Moderate obstacle,No,,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),No,,,,,,,,,,,,,,,Don't know (spontaneous),,,Yes,No,No,,,,,,,,,,,,,Don't know (spontaneous),Don't know (spontaneous),,,,,Don't know (spontaneous),Don't know (spontaneous),,,,,Don't know (spontaneous),,,3.0,Yes,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Strongly agree,Don't know (spontaneous),Yes,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),,Don't know (spontaneous),,18.0,"Yes, fully","Yes, fully",No,,Other,Don't know (spontaneous),,Don't know (spontaneous),,No payments or gifts are paid,,No,,,Don't know (spontaneous),,,Moderate obstacle,Moderate obstacle,Moderate obstacle,No obstacle,No obstacle,No obstacle,No obstacle,5,7,1,6,3,2,4,65.0,Don't know (spontaneous),45.0,20.0,15,25,5,0.0,0.0,,100.0,,0.0,,,,,,,5,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,65,Don't know (spontaneous),,,No,,,Yes,Yes,No,No obstacle,No obstacle,Business licensing and permits,15,14,9,6,3,11,4,12,2,7,13,5,10,1,8,Don't know (spontaneous),,6000000,0,Don't know (spontaneous),Don't know (spontaneous),,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),17,7,2023,11,20,Not truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,5,No,Yes,City with population over 1 million,1079,Dodoma,Large (100 or more),Food,Fresh,1.8013446,1.8079185,2.0106397,63,0,0.0
1181433,23626,Other Services,Small,Dar-es-salaam,Establishment,0,1,Yes,Services of motor vehicles,Other services,Dar-es-salaam,7,Small,No,Swahili,9,10,2023,16,3,Yes,2022,12,31,Tanzania,ES022,,,,,,Sole proprietorship,,1.0,100,0.0,0,0,No,No family ownership,,,,1990,4,1990,20.0,No,2,0,No,,No,,,,150,Yes,1.0,4.0,One minute or less,Don't know (spontaneous),,No,,No,,,,Don't know (spontaneous),,,No,,,,,1.0,No,0.0,,,0.0,,,,,Don't know (spontaneous),Very severe obstacle,Provide services of ,,,,,100,42000000.0,Forty-two million,,,30000000.0,Thirty million,100,0,0,100,0,0,0,0,,,,,,,,,,,,,100,0,,100,0,0,0,,,,,,,,Through other business,Personal relationship and trust with the top manager of the business,Minor obstacle,Minor obstacle,No,,Does not apply (spontaneous),Does not apply (spontaneous),,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,Too many to count,,Don't know (spontaneous),0.0,Yes,"Yes, there is more competition",No,No,,Very severe obstacle,0.0,,,,No,,,No,,,No,,,No,,,,,,Minor obstacle,No,,Yes,Yes,100,0,0,0,0,Yes,2000000.0,0.0,,2000000.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,,,No,0,,,,,20,Mobile money,Don't know (spontaneous),2.0,Yes,None,None,20.0,None,Don't know (spontaneous),No time was spent,Yes,1.0,No,No,,"Yes, fully",36.0,,"Yes, fully","Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,No,,,No,,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Moderate obstacle,2,4,5,3,7,6,1,5.0,5,,,1,2,2,,,0.0,0.0,,0.0,,,,,,,None,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,0,2,0.0,One month or less,No,,,No,,No,No obstacle,No obstacle,Practices of competitors in the informal sector,2,12,5,14,8,10,3,11,7,13,15,4,6,9,1,8000000.0,Don't know (spontaneous),720000,360000,Don't know (spontaneous),,,,,,3,3,9,10,2023,16,40,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,No,Yes,City with population over 1 million,4520,Dar-es-salaam,Small (5-19),Other Services,Fresh,134.96632,134.42482,171.07976,37,0,0.0
1181434,24280,Other Manufacturing,Medium,Dodoma,Establishment,1,1,Yes,Furniture,Manufacturing,Dodoma,6,Small,No,Swahili,18,9,2023,11,26,Yes,2023,7,31,Tanzania,ES015,,,,,,Sole proprietorship,,1.0,100,0.0,0,0,No,100,100.0,0.0,,2016,3,2016,5.0,No,6,0,No,,No,,,,40,No,,,,,,No,,No,,,,53,Cubic meters,,No,,,,,0.0,No,0.0,,,0.0,,,,,There is only one available internet provider,Moderate obstacle,Manufacturing of ,,,,,100,29850000.0,Twenty nine million eight hundred and fifty thousand,31300000.0,thirty one million and three hundred thousand,28900000.0,Twenty-eight million nine hundred thousand,100,0,0,100,0,0,0,0,,,,,,,,,,,,,100,0,,100,0,0,0,,,,,,,,Business expo,Size of the business,No obstacle,Minor obstacle,No,,Strongly agree,Tend to agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,Too many to count,Below 50%,,0.0,Don't know (spontaneous),"Yes, there is more competition",No,No,,No obstacle,0.0,,,,No,,,No,,78.0,No,,,No,,,,,,No obstacle,Yes,600000000.0,No,No,100,0,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,No,No,Did not think it would be approved,,,,No,0,,,,,0,,,2.0,No,,,,,Tend to agree,No time was spent,Yes,1.0,No,No,,No,One hour or less,,"Yes, partially","Yes, partially",No,,The application for a VAT cash refund is too complicated,No,,No,,No payments or gifts are paid,,No,,,No,,,Minor obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,2,6,5,7,4,3,1,6.0,4,5.0,1.0,2,2,1,5.0,1.0,,75.0,,0.0,,,,,,,None,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,0,5,0.0,6.0,No,,,No,,No,No obstacle,Moderate obstacle,Business licensing and permits,2,10,7,15,11,1,14,8,12,3,13,6,4,9,5,19200000.0,600000.0,360000,120000,0,4000000.0,,18600000.0,3600000.0,500000.0,12,7,18,9,2023,12,31,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,2,No,No,City with population over 1 million,3100,Dodoma,Medium (20-99),Other Manufacturing,Fresh,19.47106,19.542118,23.80355,61,0,0.0
